bloco,grupo,metrica,tipo,n_sujeitos,epocas_min,epocas_mediana,auc_media,auc_mediana,auc_dp,ic95_low,ic95_high,frac_sujeitos_acima_05,p_wilcoxon,p_ttest,q_fdr_bloco,auc_antiga_pooled,p_antigo_bootstrap
anestesia,drowsy,lzc,bruta,7,58,71,0.34010630311357054,0.3284552845528455,0.20643295149557614,0.21793050355782914,0.4921156477748587,0.14285714285714285,0.109375,0.08632801288242183,0.17897727272727273,0.411,0.049
anestesia,drowsy,lzc,resid_1f_in_sample,7,58,71,0.8161669414199836,0.9301801801801802,0.2744946009072677,0.6056980009770351,0.9573484289512164,0.8571428571428571,0.03125,0.022586731741409634,0.0703125,,
anestesia,drowsy,lzc,resid_1f_out_of_sample,7,58,71,0.8102043340538871,0.9041514041514042,0.27832166317651347,0.5951879376966485,0.9518068423224357,0.8571428571428571,0.03125,0.0256518477395193,0.0703125,0.742,0.035
anestesia,drowsy,pe,bruta,7,58,71,0.2895102735985677,0.3692699490662139,0.2601765925403025,0.12034143546853886,0.47606735710968057,0.14285714285714285,0.109375,0.07609964423193584,0.17897727272727273,0.283,0.02
anestesia,drowsy,pe,resid_1f_in_sample,7,58,71,0.3934050763605965,0.44144144144144143,0.3767925676650345,0.1446442283578397,0.6547947653938436,0.42857142857142855,0.46875,0.4824656892575344,0.4963235294117647,,
anestesia,drowsy,pe,resid_1f_out_of_sample,7,58,71,0.4017696266297214,0.44144144144144143,0.37970044059980784,0.15702477684044505,0.6623407222485564,0.42857142857142855,0.46875,0.5192285660760434,0.4963235294117647,0.402,0.413
rem,REM vs W,emg_rms,bruta,36,162,363,0.6618160132541017,0.6933130696746257,0.20441595865978157,0.5954291933467045,0.726166981999947,0.7777777777777778,4.721074947156012e-05,3.409989870805457e-05,0.00011330579873174429,,
rem,REM vs W,eeg_emg_coherence,bruta,36,162,363,0.5452805221202425,0.5496473853316566,0.04047361174172606,0.5322470976407546,0.5582059853270398,0.8888888888888888,1.4487886801362038e-07,9.003836900900722e-08,4.3463660404086113e-07,,
rem,REM vs W,indice_desacoplamento,bruta,36,162,363,0.2601979659417508,0.26947928735561755,0.1499052284603799,0.21036265607727275,0.3093325614828654,0.08333333333333333,9.604264050722122e-10,2.4522219856512797e-11,5.762558430433273e-09,,
rem,REM vs N1,emg_rms,bruta,36,102,257,0.5280564631216181,0.5137206747456854,0.19894703350729248,0.4667066597490516,0.5933032820223761,0.5,0.5290791585575789,0.40321798364406936,0.6341365366983651,,
rem,REM vs N1,eeg_emg_coherence,bruta,36,102,257,0.538287053748045,0.5336532439062582,0.052429270565041944,0.5220952586215897,0.5553015597799944,0.8333333333333334,6.088233203627169e-05,0.00010216233411236553,0.00012176466407254338,,
rem,REM vs N1,indice_desacoplamento,bruta,36,102,257,0.4124287334756438,0.3825197828894012,0.1705857527038815,0.3568080023356334,0.4683209629380048,0.3055555555555556,0.004354625125415623,0.004012291800459234,0.00689636253810022,,
