variant,regime,run_id,C_idx_mean,Psi_eff_mean,B_mean,Q_mean,K_mean,R_mean,M_final,level_mode
full,deep_sleep,3,0.3726338929802667,0.24632947615438902,0.8257710679777316,0.4707217155771407,0.0023193729221405454,0.7821622421337492,0.149928184030316,3
full,deep_sleep,4,0.39266131321673997,0.2605143699907873,0.8883614372198705,0.48205090388514144,0.004662779052412789,0.7818158913425106,0.15513484957294882,3
full,deep_sleep,5,0.36675180252720246,0.24599918516348274,0.798544390728291,0.4672641823392425,0.002893668608501877,0.7595468696125867,0.1498211643824193,2
full,deep_sleep,6,0.37050099894669974,0.23337909053384587,0.8520910485394904,0.4658403945815796,0.008767446470380073,0.7038689584321242,0.14794109533784697,3
full,deep_sleep,7,0.39293995733852416,0.2587326332130908,0.8909975705208383,0.4841679264569683,0.006008492169552268,0.8196619901748144,0.15374779228018942,3
full,deep_sleep,8,0.3709063230280338,0.24468029754764262,0.8232620716739927,0.4684404656864678,0.004564061179203511,0.8016295273619036,0.14974881109201726,2
full,deep_sleep,9,0.37250988580061534,0.24452891163566928,0.8352981982529031,0.46648158244756166,0.006003826322754987,0.7004751961355333,0.15006002055898432,3
full,anxiety,0,0.524795307623671,0.32395920019864716,0.8437359977228898,0.8057484394179897,0.053771496046641304,0.7821143481148003,1.2126763063779642,3
full,anxiety,1,0.5129348161555464,0.3101939116142793,0.8125819760446725,0.8057966279814778,0.02595271128212574,0.7926208223715634,1.2111868855059988,3
full,anxiety,2,0.523339032953995,0.30229188478061764,0.8793248671951482,0.812962059760959,0.09999222328899839,0.7668308029591082,1.2170825554871822,3
full,anxiety,3,0.5181332408806928,0.3041725253809937,0.8483483540888918,0.8118181930659807,0.0483924605100405,0.722143976519039,1.2193228040314952,3
full,anxiety,4,0.49823848070474536,0.2737421605641221,0.8099540201452766,0.8128310803080566,0.02884533156708788,0.7587844342211207,1.2122452454578636,3
full,anxiety,5,0.5119062829281451,0.31115511400447754,0.8121819405026985,0.7992178274683583,0.03463724727502032,0.7684571292431305,1.2032011785599173,3
full,anxiety,6,0.5152358890512555,0.3045891740430629,0.8359755789589118,0.8071877383242427,0.027439660454686026,0.7677210042520486,1.2088197995432401,3
full,anxiety,7,0.5178587286081947,0.30639583217144134,0.851371655529147,0.8038329292392546,0.029264580303318567,0.7379366363790766,1.2096186596700857,3
full,anxiety,8,0.5264361263486516,0.32279029286303845,0.8537153711028244,0.8066729959001178,0.06688098019177365,0.767666314824829,1.2109188296297468,3
full,anxiety,9,0.5219595688130233,0.3116951736144875,0.8460757561691733,0.8146218353200453,0.05612378797045189,0.7385095992089953,1.2196177433827398,3
full,reflex,0,0.3228752604829388,0.18838282463780304,0.8166846803498288,0.40766238833933155,0.03866704582398033,0.809134029240708,0.04875504105993583,2
full,reflex,1,0.3138949102007656,0.19081252952715547,0.7603306298560008,0.40802971263242105,0.023530182434216368,0.8060039790349498,0.04890677737637052,2
full,reflex,2,0.3223426283832632,0.18911433129983288,0.8143636139640685,0.40554968842405786,0.034511032470555376,0.8108612242986208,0.04862034641132086,2
full,reflex,3,0.3078358080778752,0.18415291142035986,0.7491838780066022,0.4030223609552093,0.016707503032335164,0.7422949327687902,0.0486407277199299,2
full,reflex,4,0.32856112044490027,0.19395131103922036,0.8295535992209164,0.4118087848130233,0.014142073914196241,0.786159841593865,0.04910941510537741,2
full,reflex,5,0.32411569116296735,0.19017717065430756,0.818500092735137,0.408216372533827,0.015996724435660685,0.7777870434790505,0.04888398069500699,2
full,reflex,6,0.2981620530957067,0.16891817700144596,0.7449731041356997,0.39288541894315887,0.02126510701325483,0.7714656912421394,0.04704429113099926,2
full,reflex,7,0.33489598222445166,0.18195994603707352,0.9003051373482691,0.40692879737700216,0.055822561039522836,0.7943737961041042,0.0484610344089607,2
full,reflex,8,0.32490092123465947,0.18516517775609245,0.8304817290564509,0.41245997530094675,0.04763746539398304,0.7450079398030344,0.049269313546748676,2
full,reflex,9,0.30538104937066596,0.1691740901304616,0.7825223326167655,0.3946742434665927,0.02596518125395149,0.6427290486542726,0.047659305829841035,2
