magnitude,trial,task,auc,w_mb,w_me,w_k,w_r,c_w_psi,c_w_q,c_w_m,c_w_b
0.05,17,wake_vs_nonwake,0.997037037037037,0.36604957246345055,0.199646068738858,0.20565470454500573,0.23956824999806098,0.44939962488771723,0.19981413988709043,0.17744304973457473,0.18129110494276934
0.05,17,integrated_vs_low,1.0,0.36604957246345055,0.199646068738858,0.20565470454500573,0.23956824999806098,0.44939962488771723,0.19981413988709043,0.17744304973457473,0.18129110494276934
0.05,18,wake_vs_deep_sleep,1.0,0.34907212903699336,0.19533951326183788,0.19663137994685106,0.25051681006178844,0.4472510157137271,0.19043224159760663,0.1755469627113041,0.1871308938931158
0.05,18,wake_vs_reflex,1.0,0.34907212903699336,0.19533951326183788,0.19663137994685106,0.25051681006178844,0.4472510157137271,0.19043224159760663,0.1755469627113041,0.1871308938931158
0.05,18,wake_vs_anxiety,1.0,0.34907212903699336,0.19533951326183788,0.19663137994685106,0.25051681006178844,0.4472510157137271,0.19043224159760663,0.1755469627113041,0.1871308938931158
0.05,18,wake_vs_nonwake,1.0,0.34907212903699336,0.19533951326183788,0.19663137994685106,0.25051681006178844,0.4472510157137271,0.19043224159760663,0.1755469627113041,0.1871308938931158
0.05,18,integrated_vs_low,1.0,0.34907212903699336,0.19533951326183788,0.19663137994685106,0.25051681006178844,0.4472510157137271,0.19043224159760663,0.1755469627113041,0.1871308938931158
0.05,19,wake_vs_deep_sleep,1.0,0.3374087181149513,0.201080722870781,0.1921715148227089,0.2543060023259953,0.4401555202727554,0.20318845269383803,0.173858908442877,0.18483565485451783
0.05,19,wake_vs_reflex,1.0,0.3374087181149513,0.201080722870781,0.1921715148227089,0.2543060023259953,0.4401555202727554,0.20318845269383803,0.173858908442877,0.18483565485451783
0.05,19,wake_vs_anxiety,1.0,0.3374087181149513,0.201080722870781,0.1921715148227089,0.2543060023259953,0.4401555202727554,0.20318845269383803,0.173858908442877,0.18483565485451783
0.05,19,wake_vs_nonwake,1.0,0.3374087181149513,0.201080722870781,0.1921715148227089,0.2543060023259953,0.4401555202727554,0.20318845269383803,0.173858908442877,0.18483565485451783
0.05,19,integrated_vs_low,1.0,0.3374087181149513,0.201080722870781,0.1921715148227089,0.2543060023259953,0.4401555202727554,0.20318845269383803,0.173858908442877,0.18483565485451783
0.1,0,wake_vs_deep_sleep,1.0,0.3225418662169127,0.21664047380550433,0.18920855963579525,0.22687062780880898,0.4549367222452335,0.19483689135449755,0.18121285126650208,0.19109705299431484
0.1,0,wake_vs_reflex,1.0,0.3225418662169127,0.21664047380550433,0.18920855963579525,0.22687062780880898,0.4549367222452335,0.19483689135449755,0.18121285126650208,0.19109705299431484
0.1,0,wake_vs_anxiety,1.0,0.3225418662169127,0.21664047380550433,0.18920855963579525,0.22687062780880898,0.4549367222452335,0.19483689135449755,0.18121285126650208,0.19109705299431484
0.1,0,wake_vs_nonwake,1.0,0.3225418662169127,0.21664047380550433,0.18920855963579525,0.22687062780880898,0.4549367222452335,0.19483689135449755,0.18121285126650208,0.19109705299431484
0.1,0,integrated_vs_low,1.0,0.3225418662169127,0.21664047380550433,0.18920855963579525,0.22687062780880898,0.4549367222452335,0.19483689135449755,0.18121285126650208,0.19109705299431484
0.1,1,wake_vs_deep_sleep,1.0,0.33719972249759006,0.2181159758027898,0.19163671352560474,0.25075285646158574,0.4280368581510842,0.21744174280195852,0.15859666579778864,0.16361678229812385
0.1,1,wake_vs_reflex,1.0,0.33719972249759006,0.2181159758027898,0.19163671352560474,0.25075285646158574,0.4280368581510842,0.21744174280195852,0.15859666579778864,0.16361678229812385
0.1,1,wake_vs_anxiety,1.0,0.33719972249759006,0.2181159758027898,0.19163671352560474,0.25075285646158574,0.4280368581510842,0.21744174280195852,0.15859666579778864,0.16361678229812385
0.1,1,wake_vs_nonwake,1.0,0.33719972249759006,0.2181159758027898,0.19163671352560474,0.25075285646158574,0.4280368581510842,0.21744174280195852,0.15859666579778864,0.16361678229812385
