t,scenario,C_base,S,C_hum,K_ck,M_r,P_u,R_a,M_medio_agentes
9.1,compartilhado,0.5753857367728332,0.25,0.6378857367728332,4.5397868702434395e-05,0.0,0.75,0.0,0.5842026001014896
9.200000000000001,compartilhado,0.5763316118718191,0.25,0.6388316118718191,4.5397868702434395e-05,0.0,0.75,0.0,0.5895186942334971
9.3,compartilhado,0.5823700348217536,0.25,0.6448700348217536,4.5397868702434395e-05,0.0,0.75,0.0,0.5948580733070965
9.4,compartilhado,0.5897979834179965,0.25,0.6522979834179965,4.5397868702434395e-05,0.0,0.75,0.0,0.6002003831388458
9.5,compartilhado,0.5893591590705238,0.29166666666666663,0.6622758257371905,4.5397868702434395e-05,0.0,0.875,0.0,0.6054979776208251
9.600000000000001,compartilhado,0.5892032153709688,0.29166666666666663,0.6621198820376354,4.5397868702434395e-05,0.0,0.875,0.0,0.610753831998673
9.700000000000001,compartilhado,0.5860662493645667,0.29166666666666663,0.6589829160312334,4.5397868702434395e-05,0.0,0.875,0.0,0.6159452169813678
9.8,compartilhado,0.5792180486520885,0.29166666666666663,0.6521347153187551,4.5397868702434395e-05,0.0,0.875,0.0,0.6210893078337834
9.9,compartilhado,0.5751973732330062,0.29166666666666663,0.6481140398996729,4.5397868702434395e-05,0.0,0.875,0.0,0.6261967324195135
10.0,compartilhado,0.5778757721319305,0.29166666666666663,0.6507924387985972,4.5397868702434395e-05,0.0,0.875,0.0,0.6312719710500583
10.100000000000001,compartilhado,0.5731192917678245,0.29166666666666663,0.6460359584344911,4.5397868702434395e-05,0.0,0.875,0.0,0.6363470590004541
10.200000000000001,compartilhado,0.5705133659621956,0.29166666666666663,0.6434300326288622,4.5397868702434395e-05,0.0,0.875,0.0,0.6414167178001777
10.3,compartilhado,0.5667459568434999,0.29166666666666663,0.6396626235101666,4.5397868702434395e-05,0.0,0.875,0.0,0.6464963055980303
10.4,compartilhado,0.5731301273910648,0.29166666666666663,0.6460467940577315,4.5397868702434395e-05,0.0,0.875,0.0,0.6516171389232523
10.5,compartilhado,0.5805604222750483,0.29166666666666663,0.653477088941715,4.5397868702434395e-05,0.0,0.875,0.0,0.6567729311461531
10.600000000000001,compartilhado,0.5769625281810672,0.29166666666666663,0.6498791948477338,4.5397868702434395e-05,0.0,0.875,0.0,0.661889034981358
10.700000000000001,compartilhado,0.5680759432221701,0.29166666666666663,0.6409926098888368,4.5397868702434395e-05,0.0,0.875,0.0,0.6669985113860675
10.8,compartilhado,0.5655726719398833,0.3333333333333333,0.6489060052732166,4.5397868702434395e-05,0.0,1.0,0.0,0.6721137940750106
10.9,compartilhado,0.5646401397743526,0.3333333333333333,0.6479734731076859,4.5397868702434395e-05,0.0,1.0,0.0,0.677238307308998
11.0,compartilhado,0.5684643417904337,0.3333333333333333,0.6517976751237671,4.5397868702434395e-05,0.0,1.0,0.0,0.6823643924106693
11.100000000000001,compartilhado,0.5764699183929733,0.3333333333333333,0.6598032517263067,4.5397868702434395e-05,0.0,1.0,0.0,0.6875372563693186
11.200000000000001,compartilhado,0.5769770467235713,0.3333333333333333,0.6603103800569047,4.5397868702434395e-05,0.0,1.0,0.0,0.6926934870380667
11.3,compartilhado,0.5793968760785062,0.3333333333333333,0.6627302094118396,4.5397868702434395e-05,0.0,1.0,0.0,0.6978885549575462
11.4,compartilhado,0.585007035077467,0.3333333333333333,0.6683403684108004,4.5397868702434395e-05,0.0,1.0,0.0,0.7030805056823907
11.5,compartilhado,0.5915947928977616,0.3333333333333333,0.674928126231095,4.5397868702434395e-05,0.0,1.0,0.0,0.708282043259858
11.600000000000001,compartilhado,0.5965098748934952,0.3333333333333333,0.6798432082268285,4.5397868702434395e-05,0.0,1.0,0.0,0.7134780258844169
11.700000000000001,compartilhado,0.5982031902760685,0.3333333333333333,0.6815365236094019,4.5397868702434395e-05,0.0,1.0,0.0,0.7186721438155741
11.8,compartilhado,0.5959534856040505,0.3333333333333333,0.6792868189373839,4.5397868702434395e-05,0.0,1.0,0.0,0.723840287299085
11.9,compartilhado,0.5980589346316056,0.3333333333333333,0.681392267964939,4.5397868702434395e-05,0.0,1.0,0.0,0.7289842621761558
12.0,compartilhado,0.6030722442172213,0.3333333333333333,0.6864055775505546,4.5397868702434395e-05,0.0,1.0,0.0,0.7341190550090289
12.100000000000001,compartilhado,0.6119843834723175,0.3333333333333333,0.6953177168056509,4.5397868702434395e-05,0.0,1.0,0.0,0.7392376193071664
12.200000000000001,compartilhado,0.6174594748976258,0.3333333333333333,0.7007928082309591,4.5397868702434395e-05,0.0,1.0,0.0,0.7443192200252384
12.3,compartilhado,0.6199897830341992,0.3333333333333333,0.7033231163675325,4.5397868702434395e-05,0.0,1.0,0.0,0.7493719347048327
12.4,compartilhado,0.6140387509943703,0.3333333333333333,0.6973720843277037,4.5397868702434395e-05,0.0,1.0,0.0,0.7543685104778708
12.5,compartilhado,0.6050210927083464,0.3333333333333333,0.6883544260416797,4.5397868702434395e-05,0.0,1.0,0.0,0.7592784646612685
12.600000000000001,compartilhado,0.602384787048447,0.3333333333333333,0.6857181203817804,4.5397868702434395e-05,0.0,1.0,0.0,0.7641501084453581
12.700000000000001,compartilhado,0.598846503299421,0.3333333333333333,0.6821798366327544,4.5397868702434395e-05,0.0,1.0,0.0,0.7689661824194912
12.8,compartilhado,0.598461322690663,0.3333333333333333,0.6817946560239964,4.5397868702434395e-05,0.0,1.0,0.0,0.7737474319269294
12.9,compartilhado,0.5952271017739343,0.3333333333333333,0.6785604351072677,4.5397868702434395e-05,0.0,1.0,0.0,0.7784499617167023
13.0,compartilhado,0.5951317908037035,0.3333333333333333,0.6784651241370369,4.5397868702434395e-05,0.0,1.0,0.0,0.7830620238323874
13.100000000000001,compartilhado,0.5991801434237776,0.3333333333333333,0.6825134767571109,4.5397868702434395e-05,0.0,1.0,0.0,0.7876262982161694
13.200000000000001,compartilhado,0.5997341645396097,0.3333333333333333,0.6830674978729431,4.5397868702434395e-05,0.0,1.0,0.0,0.7922275150581797
13.3,compartilhado,0.5986254009265795,0.3333333333333333,0.6819587342599128,4.5397868702434395e-05,0.0,1.0,0.0,0.7967952161482942
13.4,compartilhado,0.5943006478268135,0.3333333333333333,0.6776339811601468,4.5397868702434395e-05,0.0,1.0,0.0,0.8013646279429751
13.5,compartilhado,0.5936651193966256,0.3333333333333333,0.676998452729959,4.5397868702434395e-05,0.0,1.0,0.0,0.8059613464793267
13.600000000000001,compartilhado,0.5987505521785104,0.3333333333333333,0.6820838855118437,4.5397868702434395e-05,0.0,1.0,0.0,0.81059016759258
13.700000000000001,compartilhado,0.59651801196436,0.3333333333333333,0.6798513452976934,4.5397868702434395e-05,0.0,1.0,0.0,0.8152606299817574
13.8,compartilhado,0.5932819756895784,0.3333333333333333,0.6766153090229118,4.5397868702434395e-05,0.0,1.0,0.0,0.819962443056172
13.9,compartilhado,0.5944361073417306,0.3333333333333333,0.677769440675064,4.5397868702434395e-05,0.0,1.0,0.0,0.8247044148766846
14.0,compartilhado,0.587297445438614,0.3333333333333333,0.6706307787719473,4.5397868702434395e-05,0.0,1.0,0.0,0.8294613014217829
14.100000000000001,compartilhado,0.5791209541928773,0.3333333333333333,0.6624542875262107,4.5397868702434395e-05,0.0,1.0,0.0,0.8342132815583714
14.200000000000001,compartilhado,0.5827832240195017,0.3333333333333333,0.666116557352835,4.5397868702434395e-05,0.0,1.0,0.0,0.8390073336680626
14.3,compartilhado,0.587580254911791,0.3333333333333333,0.6709135882451244,4.5397868702434395e-05,0.0,1.0,0.0,0.8438323714968943
14.4,compartilhado,0.581469719183717,0.3333333333333333,0.6648030525170504,4.5397868702434395e-05,0.0,1.0,0.0,0.8486605381836307
14.5,compartilhado,0.5791320521910845,0.3333333333333333,0.6624653855244179,4.5397868702434395e-05,0.0,1.0,0.0,0.8534874073875276
14.600000000000001,compartilhado,0.5794103376028338,0.3333333333333333,0.6627436709361672,4.5397868702434395e-05,0.0,1.0,0.0,0.8583122201426852
14.700000000000001,compartilhado,0.5760059453523767,0.3333333333333333,0.6593392786857101,4.5397868702434395e-05,0.0,1.0,0.0,0.8631091374177002
14.8,compartilhado,0.5873217669786945,0.3333333333333333,0.6706551003120279,4.5397868702434395e-05,0.0,1.0,0.0,0.8679469532884236
14.9,compartilhado,0.5953251435303093,0.3333333333333333,0.6786584768636427,4.5397868702434395e-05,0.0,1.0,0.0,0.8727981561871754
