trial,scenario,frac_arriscada,sucesso_coordenacao,payoff_medio,prob_media_arriscada,P_u_na_decisao,R_a_na_decisao,K_ck_na_decisao,M_medio_na_decisao
19,compartilhado,0.0,False,1.0,0.04886505554283389,1.0,0.0,4.5397868702434395e-05,1.4524387783564077
20,compartilhado,0.0,False,1.0,0.04834420771263606,1.0,0.0,4.5397868702434395e-05,1.4517812849001155
21,compartilhado,0.125,False,0.875,0.04999121065516003,1.0,0.0,4.5397868702434395e-05,1.4552261244752536
22,compartilhado,0.125,False,0.875,0.050612611085024295,1.0,0.0,4.5397868702434395e-05,1.4567356977420056
23,compartilhado,0.0,False,1.0,0.04811668536458126,1.0,0.0,4.5397868702434395e-05,1.451167082816232
24,compartilhado,0.125,False,0.875,0.048256955736029304,1.0,0.0,4.5397868702434395e-05,1.4516824604290421
25,compartilhado,0.375,False,0.625,0.04896567654041374,1.0,0.0,4.5397868702434395e-05,1.4531998099178158
26,compartilhado,0.0,False,1.0,0.04875527618733908,1.0,0.0,4.5397868702434395e-05,1.4527738073486125
27,compartilhado,0.0,False,1.0,0.04966140818505897,1.0,0.0,4.5397868702434395e-05,1.4546429116196653
28,compartilhado,0.125,False,0.875,0.04987504928545396,1.0,0.0,4.5397868702434395e-05,1.4551533569002881
29,compartilhado,0.0,False,1.0,0.05079240757445169,1.0,0.0,4.5397868702434395e-05,1.4569110139582442
30,compartilhado,0.0,False,1.0,0.048632372199893345,1.0,0.0,4.5397868702434395e-05,1.4524090196276307
31,compartilhado,0.0,False,1.0,0.05005742661575983,1.0,0.0,4.5397868702434395e-05,1.4554842858889923
32,compartilhado,0.0,False,1.0,0.05039481482570897,1.0,0.0,4.5397868702434395e-05,1.4558562848119352
33,compartilhado,0.125,False,0.875,0.04812013641685949,1.0,0.0,4.5397868702434395e-05,1.4513941742594871
34,compartilhado,0.0,False,1.0,0.050474529139799836,1.0,0.0,4.5397868702434395e-05,1.4562039435173089
35,compartilhado,0.125,False,0.875,0.04968600747421787,1.0,0.0,4.5397868702434395e-05,1.4546577019756974
36,compartilhado,0.0,False,1.0,0.049384159375856634,1.0,0.0,4.5397868702434395e-05,1.453896653043136
37,compartilhado,0.125,False,0.875,0.0526028819857842,1.0,0.0,4.5397868702434395e-05,1.4607789243625966
38,compartilhado,0.0,False,1.0,0.04987408281810296,1.0,0.0,4.5397868702434395e-05,1.4551471430693423
39,compartilhado,0.125,False,0.875,0.051075215346932,1.0,0.0,4.5397868702434395e-05,1.4574986081773895
40,compartilhado,0.125,False,0.875,0.04975024731411687,1.0,0.0,4.5397868702434395e-05,1.4549070434744398
41,compartilhado,0.0,False,1.0,0.05157185385646055,1.0,0.0,4.5397868702434395e-05,1.4584145421532724
42,compartilhado,0.0,False,1.0,0.049067495489040075,1.0,0.0,4.5397868702434395e-05,1.4534720558502832
43,compartilhado,0.25,False,0.75,0.04927407690436923,1.0,0.0,4.5397868702434395e-05,1.4538438014203532
44,compartilhado,0.125,False,0.875,0.049624646870607816,1.0,0.0,4.5397868702434395e-05,1.4546997462182554
45,compartilhado,0.125,False,0.875,0.0497452379990091,1.0,0.0,4.5397868702434395e-05,1.4543770259585882
46,compartilhado,0.0,False,1.0,0.04958492986463451,1.0,0.0,4.5397868702434395e-05,1.454394926132181
47,compartilhado,0.125,False,0.875,0.05122627105185297,1.0,0.0,4.5397868702434395e-05,1.4579736158916434
48,compartilhado,0.0,False,1.0,0.049888797044870675,1.0,0.0,4.5397868702434395e-05,1.4551364362760033
49,compartilhado,0.0,False,1.0,0.04875882786093398,1.0,0.0,4.5397868702434395e-05,1.4527676392822353
50,compartilhado,0.0,False,1.0,0.04878770488988917,1.0,0.0,4.5397868702434395e-05,1.4527104522526644
51,compartilhado,0.0,False,1.0,0.04910498409833908,1.0,0.0,4.5397868702434395e-05,1.4533388248450958
52,compartilhado,0.0,False,1.0,0.05004567566892681,1.0,0.0,4.5397868702434395e-05,1.455600862052096
53,compartilhado,0.0,False,1.0,0.050223233669322125,1.0,0.0,4.5397868702434395e-05,1.4557862717990675
54,compartilhado,0.125,False,0.875,0.04770420252167465,1.0,0.0,4.5397868702434395e-05,1.4502894827464037
55,compartilhado,0.0,False,1.0,0.05005639342459156,1.0,0.0,4.5397868702434395e-05,1.4555743665551582
56,compartilhado,0.0,False,1.0,0.04758527498680509,1.0,0.0,4.5397868702434395e-05,1.45017202060498
57,compartilhado,0.0,False,1.0,0.048275245462237444,1.0,0.0,4.5397868702434395e-05,1.451516828799933
58,compartilhado,0.0,False,1.0,0.04919783830300084,1.0,0.0,4.5397868702434395e-05,1.4535751431699415
59,compartilhado,0.125,False,0.875,0.05086899744436418,1.0,0.0,4.5397868702434395e-05,1.4570514317424466
60,compartilhado,0.0,False,1.0,0.052162967201992705,1.0,0.0,4.5397868702434395e-05,1.4598468443423722
61,compartilhado,0.125,False,0.875,0.04962032670685083,1.0,0.0,4.5397868702434395e-05,1.4545353225085353
62,compartilhado,0.0,False,1.0,0.049166423465602994,1.0,0.0,4.5397868702434395e-05,1.4535841852480926
63,compartilhado,0.25,False,0.75,0.0521770340022515,1.0,0.0,4.5397868702434395e-05,1.45994583645827
64,compartilhado,0.0,False,1.0,0.04860723381792817,1.0,0.0,4.5397868702434395e-05,1.4521571137013911
65,compartilhado,0.0,False,1.0,0.050600403066854135,1.0,0.0,4.5397868702434395e-05,1.4563075675014217
66,compartilhado,0.0,False,1.0,0.05224549823476436,1.0,0.0,4.5397868702434395e-05,1.459986311856992
67,compartilhado,0.0,False,1.0,0.04930837231033674,1.0,0.0,4.5397868702434395e-05,1.4539714617759563
68,compartilhado,0.0,False,1.0,0.051810914594349694,1.0,0.0,4.5397868702434395e-05,1.459188064268858
69,compartilhado,0.0,False,1.0,0.049604579610955137,1.0,0.0,4.5397868702434395e-05,1.454462262665503
70,compartilhado,0.0,False,1.0,0.048539275586823055,1.0,0.0,4.5397868702434395e-05,1.4523468575865086
71,compartilhado,0.0,False,1.0,0.050535012831973536,1.0,0.0,4.5397868702434395e-05,1.4564887227637358
72,compartilhado,0.0,False,1.0,0.049717196310523654,1.0,0.0,4.5397868702434395e-05,1.4547848891278075
73,compartilhado,0.0,False,1.0,0.04848755981938879,1.0,0.0,4.5397868702434395e-05,1.4522068482265196
74,compartilhado,0.0,False,1.0,0.048749346862925966,1.0,0.0,4.5397868702434395e-05,1.4526577288768423
75,compartilhado,0.125,False,0.875,0.04755547559112852,1.0,0.0,4.5397868702434395e-05,1.4501313132530735
76,compartilhado,0.0,False,1.0,0.049001345141203134,1.0,0.0,4.5397868702434395e-05,1.4532003286530197
