w_mb,w_me,w_k,w_r,c_w_psi,c_w_q,c_w_m,c_w_b,auc
0.22199722497590071,0.38115975802789803,0.11636713525604746,0.25752856461585727,0.23036858151084247,0.37441742801958533,0.05596665797788617,0.016167822981238436,1.0
0.30456794200212656,0.39695022562233484,0.3566709065019656,0.3743040097284746,0.8017132417906724,0.3573786558791453,0.1764118425313927,0.11373445865908548,1.0
0.5404087024776916,0.26466450526710444,0.14946309154948403,0.047233334030757634,0.6721106502141234,0.10498420636914588,0.31851647118148496,0.0867494070020465,1.0
0.08593055268804022,0.3324450688499625,0.06131372664979762,0.08963415407886954,0.5394445123687591,0.3498248163349858,0.0667877863429549,0.11171652224403411,1.0
0.5441833867688243,0.38873057042438697,0.20029647448093693,0.07194875127562539,0.012542658937381391,0.0918624119995421,0.04481955404741716,0.24395712250062868,1.0
0.08528275323997178,0.2025319726482532,0.2777049742571546,0.2905583046104512,0.17979808649405185,0.3216498104729051,0.24323842406937257,0.26603424140959503,1.0
0.09174042609011927,0.049501521460137844,0.3710250204026031,0.19878909691247032,0.2708538226028458,0.19543361814061333,0.22537383233961805,0.34402437253690915,1.0
0.2005123588174385,0.3699233717248109,0.009943796554502527,0.27759902116341234,0.5705776005129766,0.04235896150030132,0.047715463001730296,0.15088115495386936,1.0
0.6763623385002272,0.23841702129374914,0.3732092886400845,0.40218045780648537,0.4206434413997624,0.313905379700875,0.006064506552175831,0.039291838835664575,1.0
0.5806000304179154,0.31872683533006474,0.09305629678657348,0.26538479529952674,0.5454142386300098,0.3470955815104045,0.20505643349516675,0.1485257649385249,1.0
0.2619288303850279,0.17035283454940398,0.26077241023198966,0.43374531587616244,0.4085071938686698,0.09913582518054326,0.0804652034191776,0.2685651408876407,1.0
0.5715981343967372,0.042111231941649986,0.026623542782071265,0.2972168318782259,0.13155591977342845,0.32986567618253654,0.10551378913418531,0.05179389586961135,1.0
0.6446793307412151,0.06621268909411127,0.11388803293517423,0.07680669759602932,0.10394105729881947,0.008459206534576014,0.01883443911584844,0.06287092953690697,1.0
0.03736735283902277,0.2364575264443885,0.27228581071980257,0.19681522841601412,0.28619198725684447,0.20181049480889204,0.29750168035976693,0.3064073856559941,1.0
0.03043254340895436,0.07259936383860964,0.09469794844175841,0.12469378791610591,0.5141093865684955,0.16650497028127692,0.016746400775381958,0.13450108984544576,1.0
0.366627064102346,0.04066876116148639,0.3333834215154239,0.025980933232552128,0.8323576821162559,0.039645256631950204,0.28681548354323594,0.32495513181394214,1.0
0.6856994764106148,0.3208103521094374,0.31179101630853157,0.32124163799777383,0.7010967191203161,0.05382088336525884,0.1822631322221967,0.1851202332685492,1.0
0.6003005008857902,0.18511974623740635,0.1540357984401414,0.31978163561855505,0.23981698575076146,0.05590736438158275,0.1624782731680736,0.1500801726941586,1.0
0.16279895837021158,0.14700472404605122,0.14655697993049896,0.16374778220627273,0.3415176717542361,0.27429733818237817,0.10093800135423701,0.34158885361752256,1.0
0.6414436136767245,0.19236417132003145,0.1313444820018755,0.26771739491500157,0.7637044398962621,0.26103493622404084,0.27349322150200633,0.19178001938366646,1.0
0.4430423404873345,0.1152622456729847,0.29395726492411633,0.10120229656285917,0.6253183159366484,0.34428762733035767,0.04491496468252494,0.22117670659509112,1.0
0.06656702376095422,0.2902862513085708,0.033797287529408096,0.467969911350313,0.12366713703402195,0.3835520983636322,0.2723006198689329,0.21372552160788746,1.0
0.5478368732406828,0.31804593559323435,0.37841082512693214,0.1266916769195936,0.5310683058224783,0.03801967902576049,0.20949633800820125,0.061664869473403966,1.0
0.3954654280307093,0.2289722056135399,0.18639406119249094,0.2613158877565614,0.6875310510059292,0.3196978866048267,0.1673320932956459,0.2158536389481404,1.0
0.6518653649830712,0.04789343540044913,0.04684142636004421,0.043854505955384204,0.5920769565364751,0.1674433203161518,0.2632692814882267,0.24164330879109333,1.0
0.2335464308297667,0.35934661894461434,0.30501285882826096,0.13526747045508786,0.32777281599484864,0.12577599208170517,0.05358796053249989,0.05320201411518899,1.0
0.6552892243630208,0.17516161487950133,0.15332792911096393,0.36484285433868896,0.49769375872760996,0.37445599473538493,0.26530250792919335,0.1725730430848345,1.0
0.26345163143657835,0.39465261796972884,0.2871040944014574,0.47559733000192056,0.10663071949533723,0.34021347167631305,0.2166051205570106,0.043891804200640525,1.0
0.41178059997845445,0.27443854604217954,0.004921074355441136,0.22715898092087328,0.7428595600766891,0.11814361013763595,0.1559063478115074,0.15923308574444153,1.0
0.2113491740097441,0.36737675820622173,0.3125176141726064,0.05529420549805525,0.8973311920538157,0.3516800097230981,0.09652886887377325,0.30128276867793774,1.0
0.074493672309968,0.3996418921896955,0.2662738944426148,0.3250625077793985,0.08139665428571947,0.3588133595586501,0.009859831089519605,0.08669810089481293,1.0
0.1001153126166445,0.31070717627688743,0.07928169088515916,0.45531911356544263,0.5906421353947412,0.014465084197878487,0.001846143603758157,0.01859685012518361,1.0
0.42414762435340936,0.3205927243437661,0.09542112825095539,0.4247044214615365,0.051508746137934346,0.32038554145667053,0.3154504462585754,0.27795902367757697,1.0
0.488684548785046,0.33519208746215323,0.016060519818826568,0.10089105535952769,0.11243131137507877,0.20181239607719462,0.25336396363180713,0.22680426404750353,1.0
0.5957917698333545,0.06208519697643636,0.29384843677406464,0.09652074543445205,0.24368287618602022,0.28396187891252156,0.33326962686555184,0.22015569815174504,1.0
0.038150220493906914,0.24652358797101315,0.01694022063206684,0.4420728556834086,0.6386204565905587,0.0692511385690013,0.031185141980227343,0.06607196239691483,1.0
0.6860190256879347,0.18342425698339593,0.3136323793365632,0.31820417105388843,0.5151718349627736,0.05805210186601988,0.3216483142097523,0.10848334770529845,1.0
0.4046120510652795,0.27991037783562644,0.25969326209812355,0.4702972048477592,0.1335950909280522,0.20334109537877684,0.13737169285186043,0.17070074261374252,1.0
0.08345226833842123,0.05363784394910614,0.11123021831250296,0.15235230188041565,0.385112892313215,0.2443950188146513,0.21577389992220944,0.1482519227708053,1.0
0.28614817660008796,0.0870514106787848,0.2353224993636033,0.15852045565861894,0.03245385084962733,0.16736001766274416,0.16120510953065792,0.08121343255351596,1.0
0.40072055318548094,0.22630876017276838,0.2808008724441486,0.323974241100605,0.5871897508689284,0.12648566072961726,0.26772695547522435,0.1976919780958846,1.0
0.3019927366259231,0.25040499237642283,0.14426293378010172,0.2563696223033791,0.6630351196339983,0.3545611546894831,0.3131594470803652,0.1813078530659157,1.0
0.36419258031839835,0.31994816430553463,0.12578027669768052,0.4186911811725343,0.4447274818656811,0.04634268973410736,0.02450011000480086,0.3031175559742067,1.0
0.03889754183481453,0.11224457445346236,0.13365201620061834,0.0864972225957969,0.2825040328217903,0.2970770266900343,0.004992166810424061,0.2977824328274471,1.0
0.5995836165021907,0.14890462927661927,0.061445159624253926,0.30042020397254043,0.1077053002784049,0.145967744431301,0.32586592150633065,0.35836721013010936,1.0
0.5404734239482099,0.12438460396830649,0.275066019666437,0.35270318274200635,0.34905752564728476,0.2563554538344638,0.0036473992917299227,0.07526075709680692,1.0
0.3675618120770828,0.06550052170331835,0.06636274715061345,0.41815214527511896,0.890219702415245,0.22238777121137937,0.2852837084997826,0.3565157991574581,1.0
0.09911712199814228,0.17929824530174043,0.15702908633676796,0.04002464182309251,0.67979715551527,0.17351161092903722,0.15957115762473645,0.05424227057276646,1.0
0.12664865656160768,0.36284144886248604,0.017859635589711553,0.11642614247185312,0.26285339728307555,0.19607901696063457,0.19939135882503062,0.17758439130623996,1.0
0.058880734189817416,0.09746698162228543,0.3374353539050165,0.31879435023922953,0.5842341451208469,0.268081302140542,0.2593870264734399,0.02091905341972104,1.0
0.25662586945282867,0.21581097410467148,0.1353825933189304,0.42223943664359326,0.43431525772856455,0.30745103578375166,0.2896852757395975,0.18172493384525928,1.0
0.6366865707099449,0.23484957621479224,0.34010971953348873,0.17029539779576214,0.4489352626783367,0.2125644164018311,0.035693103404664,0.14347890241255462,1.0
0.6421363707861732,0.252332896145897,0.071002632974787,0.16942781780480248,0.17244270869642986,0.009929252719429016,0.3153365558913691,0.16135463817247372,1.0
0.2152745506945503,0.23939087662309466,0.002925782517206255,0.13901105330040692,0.6327301191290033,0.2535079092277052,0.3338140221644621,0.22332877547689584,1.0
0.3342541115394129,0.3045730252736031,0.3613311487856212,0.3603479733591758,0.8668901011944417,0.3128020682952709,0.294712489009055,0.04107746562610939,1.0
