param,multiplier,task,auc,value
c_w_q,0.75,wake_vs_nonwake,1.0,0.15000000000000002
c_w_q,0.75,integrated_vs_low,1.0,0.15000000000000002
c_w_q,1.0,wake_vs_deep_sleep,1.0,0.2
c_w_q,1.0,wake_vs_reflex,1.0,0.2
c_w_q,1.0,wake_vs_anxiety,1.0,0.2
c_w_q,1.0,wake_vs_nonwake,1.0,0.2
c_w_q,1.0,integrated_vs_low,1.0,0.2
c_w_q,1.25,wake_vs_deep_sleep,1.0,0.25
c_w_q,1.25,wake_vs_reflex,1.0,0.25
c_w_q,1.25,wake_vs_anxiety,1.0,0.25
c_w_q,1.25,wake_vs_nonwake,1.0,0.25
c_w_q,1.25,integrated_vs_low,1.0,0.25
c_w_q,1.5,wake_vs_deep_sleep,1.0,0.30000000000000004
c_w_q,1.5,wake_vs_reflex,1.0,0.30000000000000004
c_w_q,1.5,wake_vs_anxiety,1.0,0.30000000000000004
c_w_q,1.5,wake_vs_nonwake,1.0,0.30000000000000004
c_w_q,1.5,integrated_vs_low,1.0,0.30000000000000004
c_w_q,2.0,wake_vs_deep_sleep,1.0,0.4
c_w_q,2.0,wake_vs_reflex,1.0,0.4
c_w_q,2.0,wake_vs_anxiety,1.0,0.4
c_w_q,2.0,wake_vs_nonwake,1.0,0.4
c_w_q,2.0,integrated_vs_low,1.0,0.4
c_w_m,0.0,wake_vs_deep_sleep,1.0,0.0
c_w_m,0.0,wake_vs_reflex,1.0,0.0
c_w_m,0.0,wake_vs_anxiety,1.0,0.0
c_w_m,0.0,wake_vs_nonwake,1.0,0.0
c_w_m,0.0,integrated_vs_low,1.0,0.0
c_w_m,0.25,wake_vs_deep_sleep,1.0,0.0425
c_w_m,0.25,wake_vs_reflex,1.0,0.0425
c_w_m,0.25,wake_vs_anxiety,1.0,0.0425
c_w_m,0.25,wake_vs_nonwake,1.0,0.0425
c_w_m,0.25,integrated_vs_low,1.0,0.0425
c_w_m,0.5,wake_vs_deep_sleep,1.0,0.085
c_w_m,0.5,wake_vs_reflex,1.0,0.085
c_w_m,0.5,wake_vs_anxiety,1.0,0.085
c_w_m,0.5,wake_vs_nonwake,1.0,0.085
c_w_m,0.5,integrated_vs_low,1.0,0.085
c_w_m,0.75,wake_vs_deep_sleep,1.0,0.1275
c_w_m,0.75,wake_vs_reflex,1.0,0.1275
c_w_m,0.75,wake_vs_anxiety,1.0,0.1275
c_w_m,0.75,wake_vs_nonwake,1.0,0.1275
c_w_m,0.75,integrated_vs_low,1.0,0.1275
c_w_m,1.0,wake_vs_deep_sleep,1.0,0.17
c_w_m,1.0,wake_vs_reflex,1.0,0.17
c_w_m,1.0,wake_vs_anxiety,1.0,0.17
c_w_m,1.0,wake_vs_nonwake,1.0,0.17
c_w_m,1.0,integrated_vs_low,1.0,0.17
c_w_m,1.25,wake_vs_deep_sleep,1.0,0.21250000000000002
c_w_m,1.25,wake_vs_reflex,1.0,0.21250000000000002
c_w_m,1.25,wake_vs_anxiety,1.0,0.21250000000000002
c_w_m,1.25,wake_vs_nonwake,1.0,0.21250000000000002
c_w_m,1.25,integrated_vs_low,1.0,0.21250000000000002
c_w_m,1.5,wake_vs_deep_sleep,1.0,0.255
c_w_m,1.5,wake_vs_reflex,1.0,0.255
c_w_m,1.5,wake_vs_anxiety,1.0,0.255
c_w_m,1.5,wake_vs_nonwake,1.0,0.255
c_w_m,1.5,integrated_vs_low,1.0,0.255
c_w_m,2.0,wake_vs_deep_sleep,1.0,0.34
c_w_m,2.0,wake_vs_reflex,1.0,0.34
