variant,regime,run_id,C_idx_mean,Psi_eff_mean,B_mean,Q_mean,K_mean,R_mean,M_final,level_mode
full,anxiety,12,0.5500894494835025,0.30990293183814976,0.8369936504976591,0.8736778970036821,0.042704963520741455,0.806178494647061,1.726516749697489,4
full,anxiety,13,0.5517333834995807,0.30741484910707373,0.8497707363709764,0.8756631181900975,0.051109480410106586,0.7890272724770402,1.729784687355197,4
full,anxiety,14,0.5184522786297009,0.24413610173826725,0.8245609610004425,0.873213669397076,0.012232675814296249,0.7884019144975948,1.7118490288196324,3
full,anxiety,15,0.5047611340297303,0.22334037674554835,0.8069859884650888,0.8680716641412277,0.010484235310526602,0.8166208129933312,1.7002285677295812,3
full,anxiety,16,0.4852956619250381,0.18448171849670558,0.8031694565310441,0.8619691968661224,0.03335836262968179,0.7915180461459097,1.6826894228595664,3
full,anxiety,17,0.5382594861068309,0.2666568484592041,0.8730036534463029,0.8774764751894615,0.048828940393065734,0.8337906576115902,1.721095707474242,3
full,anxiety,18,0.5038050154522653,0.1884154352752719,0.8913881886690016,0.8648265214284191,0.06556194733976076,0.7782196649792555,1.684374386192516,3
full,anxiety,19,0.54969009630542,0.30794783458302494,0.8378342341046913,0.8745017910911657,0.028069109651548428,0.8099438612708822,1.7244402899576383,3
full,anxiety,20,0.5582540309852206,0.33407643936025627,0.8193425274286839,0.8757793591694114,0.018477445395577576,0.8359786876741933,1.7337814798006443,4
full,anxiety,21,0.49256260420960546,0.19223344698744768,0.8196077128530205,0.8650371506833826,0.03036893116318213,0.8314105806426078,1.6862869613380307,3
full,anxiety,22,0.5194675751509547,0.2208172805252173,0.8895842802706033,0.8713344212362525,0.11337336143297662,0.7622546049480743,1.6967604492460202,3
full,anxiety,23,0.5600022508307461,0.3284711852050059,0.8417089500645394,0.8769227186606402,0.026871987273128325,0.8106419840098678,1.7352342749602545,4
full,anxiety,24,0.5402711649666878,0.2984149958615548,0.8111472507510412,0.8735372804039878,0.055167785900640795,0.7566709190929157,1.7263199223470873,3
full,anxiety,25,0.5484371516436778,0.2910308111299308,0.8652430408496381,0.8800299019537905,0.044626710417749064,0.779230920393518,1.7275828879815667,3
full,anxiety,26,0.5528127565986569,0.30146635517917947,0.8623464497759701,0.8811270432343,0.052753170697647865,0.7689384898911109,1.732836856284348,4
full,anxiety,27,0.5552891392769261,0.3233169117163868,0.8337878475221312,0.8732107913335532,0.02038805423760828,0.7718411412639451,1.7320826111032561,4
full,anxiety,28,0.5495642034618788,0.28927116908692285,0.8722461801349622,0.8827468999336001,0.02326266458516796,0.82012760956922,1.7337591434767847,3
full,anxiety,29,0.5585502220779888,0.3127065603460339,0.8710627348362209,0.8779070223909137,0.052264898780050896,0.8019366015604674,1.7304274629906895,4
full,anxiety,30,0.5585103503300245,0.318750186069483,0.8528277491885812,0.8796218500079322,0.07615861679204858,0.7917861143809273,1.734003335932685,4
full,anxiety,31,0.5423023539896136,0.30252022608166396,0.8189360686329189,0.8687537524990777,0.03136834307168605,0.7635535080656467,1.7204925112388973,3
