subject,state,epoch,lzc,pe,exponent_1f,grupo_responsividade
02,sedacao_leve,14,0.4719504182605465,0.690093268113617,1.5916379701953416,responsive
02,sedacao_leve,15,0.4608859793126806,0.6898601474854309,1.5585675142685547,responsive
02,sedacao_leve,16,0.46629415799123397,0.7062621261305244,1.5888091327466256,responsive
02,sedacao_leve,17,0.47477854839520295,0.7036254121273148,1.610723098351006,responsive
02,sedacao_leve,18,0.4658476111278671,0.6997318377513256,1.6535285893462115,responsive
02,sedacao_leve,19,0.46262255044799583,0.6994472718563554,1.505082149081423,responsive
02,sedacao_leve,20,0.4715534877153316,0.6983112217054861,1.5929029631057157,responsive
02,sedacao_leve,21,0.4554778006341272,0.7018100317746675,1.7999673888558427,responsive
02,sedacao_leve,22,0.4626721667661478,0.6937207533119816,1.679756335534663,responsive
02,sedacao_leve,23,0.4579090002235685,0.6923726808222624,1.6679238383822252,responsive
02,sedacao_leve,24,0.47110694085196486,0.7010944325061479,1.622168321843286,responsive
02,sedacao_leve,25,0.4817248329364642,0.7061489780194291,1.613468808388771,responsive
02,sedacao_leve,26,0.45289775209023014,0.7018503459462623,1.5738207482805018,responsive
02,sedacao_leve,27,0.4582066981324798,0.6949262423162189,1.7086375046536604,responsive
02,sedacao_leve,28,0.46639339062753765,0.694722789579559,1.4618794487921827,responsive
02,sedacao_leve,29,0.46649262326384144,0.701333780738953,1.5954594846899268,responsive
02,sedacao_leve,30,0.4685765086262198,0.7016183374142985,1.5241142004432628,responsive
02,sedacao_leve,31,0.47825169066583356,0.6997650967366937,1.6094540744173274,responsive
02,sedacao_leve,32,0.48857188484142156,0.7102910328801967,1.595406363929952,responsive
02,sedacao_leve,33,0.4806332739371232,0.6977464059807821,1.61473776909365,responsive
02,sedacao_leve,34,0.45671820858792384,0.6966717788768937,1.571546118440857,responsive
02,sedacao_leve,35,0.4730915935780395,0.697726248210793,1.5437965042303103,responsive
02,sedacao_leve,36,0.48281639193580517,0.7054424003799038,1.512880887798093,responsive
02,sedacao_leve,37,0.46941998603480145,0.6996966843518025,1.6350736146108051,responsive
02,sedacao_leve,38,0.4875299421602325,0.7002551646238718,1.5642269913571791,responsive
